,Simplified,Pinyin,English,Level,Part of Speech,No.
7168,困境,kùnjìng,,7,,
7169,扩,kuò,,7,,
7170,扩建,kuòjiàn,,7,,
7171,括弧,kuòhú,,7,,
7172,阔绰,kuòchuò,,7,,
7173,拉动,lādòng,,7,,
7174,拉拢,lālǒng,,7,,
7175,拉锁,lāsuǒ,,7,,
7176,啦啦队,lālāduì,,7,,
7177,腊月,làyuè,,7,,
7178,蜡,là,,7,,
7179,来宾,láibīn,,7,,
7180,来电,láidiàn,,7,,
7181,来访,láifǎng,,7,,
7182,来回,láihuí,,7,,
7183,来临,láilín,,7,,
7184,来龙去脉,láilóng-qùmài,,7,,
7185,来年,láinián,,7,,
7186,来源于,láiyuán yú,,7,,
7187,栏,lán,,7,,
7188,栏杆,lángān,,7,,
7189,蓝图,lántú,,7,,
7190,揽,lǎn,,7,,
7191,缆车,lǎnchē,,7,,
7192,懒得,lǎnde,,7,,
7193,滥用,lànyòng,,7,,
7194,狼,láng,,7,,
7195,朗诵,lǎngsòng,,7,,
7196,浪,làng,,7,,
7197,劳动力,láodònglì,,7,,
7198,劳累,láolèi,,7,,
7199,劳务,láowù,,7,,
7200,牢记,láojì,,7,,
7201,牢牢,láoláo,,7,,
7202,老伴儿,lǎobànr,,7,,
7203,老大,lǎodà,,7,,
7204,老汉,lǎohàn,,7,,
7205,老化,lǎohuà,,7,,
7206,老人家,lǎorenjia,,7,,
7207,老实说,lǎoshishuō,,7,,
7208,老远,lǎo yuǎn,,7,,
7209,老字号,lǎozìhao,,7,,
7210,姥爷,lǎoye,,7,,
7211,涝,lào,,7,,
7212,乐园,lèyuán,,7,,
7213,勒,lēi,,7,,
7214,雷同,léitóng,,7,,
7215,累积,lěijī,,7,,
7216,累计,lěijì,,7,,
7217,类别,lèibié,,7,,
7218,棱角,léngjiǎo,,7,,
7219,冷冻,lěngdòng,,7,,
7220,冷酷无情,lěngkù-wúqíng,,7,,
7221,冷门,lěngmén,,7,,
7222,冷漠,lěngmò,,7,,
7223,冷笑,lěngxiào,,7,,
7224,冷战,lěngzhàn,,7,,
7225,离谱儿,lípǔr,,7,,
7226,离奇,líqí,,7,,
7227,离职,lízhí,,7,,
7228,礼服,lǐfú,,7,,
7229,礼品,lǐpǐn,,7,,
7230,礼仪,lǐyí,,7,,
7231,理会,lǐhuì,,7,,
7232,理科,lǐkē,,7,,
7233,理念,lǐniàn,,7,,
7234,理事,lǐshì,,7,,
7235,理性,lǐxìng,,7,,
7236,力不从心,lìbùcóngxīn,,7,,
7237,力度,lìdù,,7,,
7238,历程,lìchéng,,7,,
7239,历届,lìjiè,,7,,
7240,历经,lìjīng,,7,,
7241,历时,lìshí,,7,,
7242,立方米,lìfāngmǐ,,7,,
7243,立功,lìgōng,,7,,
7244,励志,lìzhì,,7,,
7245,利率,lìlǜ,,7,,
7246,利索,lìsuo,,7,,
7247,连滚带爬,liángǔn-dàipá,,7,,
7248,连绵,liánmián,,7,,
7249,连任,liánrèn,,7,,
7250,连锁店,liánsuǒdiàn,,7,,
7251,连夜,liányè,,7,,
7252,怜惜,liánxī,,7,,
7253,帘子,liánzi,,7,,
7254,莲子,liánzǐ,,7,,
7255,联邦,liánbāng,,7,,
7256,联网,liánwǎng,,7,,
7257,廉价,liánjià,,7,,
7258,廉正,liánzhèng,,7,,
7259,廉政,liánzhèng,,7,,
7260,脸颊,liǎnjiá,,7,,
7261,炼,liàn,,7,,
7262,恋恋不舍,liànliàn-bùshě,,7,,
7263,良,liáng,,7,,
7264,良性,liángxìng,,7,,
7265,凉爽,liángshuǎng,,7,,
7266,两口子,liǎngkǒuzi,,7,,
7267,两栖,liǎngqī,,7,,
7268,亮点,liàngdiǎn,,7,,
7269,亮丽,liànglì,,7,,
7270,亮相,liàngxiàng,,7,,
7271,疗法,liáofǎ,,7,,
7272,疗效,liáoxiào,,7,,
7273,寥寥无几,liáoliáo-wújǐ,,7,,
7274,潦草,liáocǎo,,7,,
7275,了结,liǎojié,,7,,
7276,了却,liǎoquè,,7,,
7277,料到,liàodào,,7,,
7278,料理,liàolǐ,,7,,
7279,咧嘴,liězuǐ,,7,,
7280,劣势,lièshì,,7,,
7281,劣质,lièzhì,,7,,
7282,烈士,lièshì,,7,,
7283,猎犬,lièquǎn,,7,,
7284,猎人,lièrén,,7,,
7285,裂缝,lièfèng,,7,,
7286,裂痕,lièhén,,7,,
7287,拎,līn,,7,,
7288,邻国,línguó,,7,,
7289,临,lín,,7,,
7290,临街,línjiē,,7,,
7291,临近,línjìn,,7,,
7292,灵,líng,,7,,
7293,灵机一动,língjī-yīdòng,,7,,
7294,灵巧,língqiǎo,,7,,
7295,灵通,língtōng,,7,,
7296,零花钱,línghuāqián,,7,,
7297,零售,língshòu,,7,,
7298,领队,lǐngduì,,7,,
7299,领军,lǐngjūn,,7,,
7300,领略,lǐnglüè,,7,,
7301,领事,lǐngshì,,7,,
7302,领养,lǐngyǎng,,7,,
7303,溜达,liūda,,7,,
7304,浏览器,liúlǎnqì,,7,,
7305,留心,liúxīn,,7,,
7306,留意,liúyì,,7,,
7307,流畅,liúchàng,,7,,
7308,流程,liúchéng,,7,,
7309,流量,liúliàng,,7,,
7310,流入,liúrù,,7,,
7311,流失,liúshī,,7,,
7312,流水,liúshuǐ,,7,,
7313,流淌,liútǎng,,7,,
7314,流向,liúxiàng,,7,,
7315,流血,liúxuè,,7,,
7316,流域,liúyù,,7,,
7317,流转,liúzhuǎn,,7,,
7318,柳树,liǔshù,,7,,
7319,遛,liù,,7,,
7320,龙舟,lóngzhōu,,7,,
7321,聋,lóng,,7,,
7322,聋人,lóngrén,,7,,
7323,笼子,lóngzi,,7,,
7324,笼统,lǒngtǒng,,7,,
7325,露面,lòumiàn,,7,,
7326,芦花,lúhuā,,7,,
7327,炉子,lúzi,,7,,
7328,卤味,lǔwèi,,7,,
7329,鲁莽,lǔmǎng,,7,,
7330,录制,lùzhì,,7,,
7331,鹿,lù,,7,,
7332,路程,lùchéng,,7,,
7333,路灯,lùdēng,,7,,
7334,路段,lùduàn,,7,,
7335,路况,lùkuàng,,7,,
7336,路面,lùmiàn,,7,,
7337,路人,lùrén,,7,,
7338,路途,lùtú,,7,,
7339,路子,lùzi,,7,,
7340,露天,lùtiān,,7,,
7341,旅程,lǚchéng,,7,,
7342,旅途,lǚtú,,7,,
7343,铝,lǚ,,7,,
7344,屡,lǚ,,7,,
7345,缕,lǚ,,7,,
7346,率,lǜ,,7,,
7347,成功率,chénggōnglǜ,,7,,
7348,绿灯,lǜdēng,,7,,
7349,绿地,lǜdì,,7,,
7350,孪生,luánshēng,,7,,
7351,卵,luǎn,,7,,
7352,乱七八糟,luànqībāzāo,,7,,
7353,略,lüè,,7,,
7354,略微,lüèwēi,,7,,
7355,抡,lūn,,7,,
7356,伦理,lúnlǐ,,7,,
7357,轮换,lúnhuàn,,7,,
7358,论述,lùnshù,,7,,
7359,罗,luó,,7,,
7360,萝卜,luóbo,,7,,
7361,螺丝,luósī,,7,,
7362,裸,luǒ,,7,,
7363,裸露,luǒlù,,7,,
7364,落差,luòchā,,7,,
7365,落地,luòdì,,7,,
7366,落户,luòhù,,7,,
7367,落下,luòxia,,7,,
7368,麻,má,,7,,
7369,麻将,májiàng,,7,,
7370,麻辣,málà,,7,,
7371,马后炮,mǎhòupào,,7,,
7372,马力,mǎlì,,7,,
7373,马桶,mǎtǒng,,7,,
7374,马戏,mǎxì,,7,,
7375,码,mǎ,,7,,
7376,埋藏,máicáng,,7,,
7377,买不起,mǎi bu qǐ,,7,,
7378,迈进,màijìn,,7,,
7379,卖弄,màinong,,7,,
7380,脉络,màiluò,,7,,
7381,蛮,mán,,7,,
7382,瞒,mán,,7,,
7383,满怀,mǎnhuái,,7,,
7384,漫,màn,,7,,
7385,漫游,mànyóu,,7,,
7386,慢慢来,mànmàn lái,,7,,
7387,忙活,mánghuo,,7,,
7388,忙乱,mángluàn,,7,,
7389,矛头,máotóu,,7,,
7390,茅台,Máotái,,7,,
7391,茅台酒,Máotáijiǔ,,7,,
7392,茂密,màomì,,7,,
7393,冒昧,màomèi,,7,,
7394,没劲,méijìn,,7,,
7395,没说的,méishuōde,,7,,
7396,没完没了,méiwán-méiliǎo,,7,,
7397,没意思,méi yìsi,,7,,
7398,没辙,méizhé,,7,,
7399,没准儿,méizhǔnr,,7,,
7400,玫瑰,méigui,,7,,
7401,眉开眼笑,méikāi-yǎnxiào,,7,,
7402,煤矿,méikuàng,,7,,
7403,每当,měidāng,,7,,
7404,每逢,měiféng,,7,,
7405,美德,měidé,,7,,
7406,美化,měihuà,,7,,
7407,美景,měijǐng,,7,,
7408,美人,měirén,,7,,
7409,美味,měiwèi,,7,,
7410,美中不足,měizhōng-bùzú,,7,,
7411,美滋滋,měizīzī,,7,,
7412,闷,mēn,,7,,
7413,门当户对,méndāng-hùduì,,7,,
7414,门槛,ménkǎn,,7,,
7415,门铃,ménlíng,,7,,
7416,门路,ménlu,,7,,
7417,萌发,méngfā,,7,,
7418,盟友,méngyǒu,,7,,
7419,朦胧,ménglóng,,7,,
7420,猛然,měngrán,,7,,
7421,梦幻,mènghuàn,,7,,
7422,迷惑不解,míhuò-bùjiě,,7,,
7423,迷恋,míliàn,,7,,
7424,迷失,míshī,,7,,
7425,谜,mí,,7,,
7426,谜底,mídǐ,,7,,
7427,谜团,mítuán,,7,,
7428,秘方,mìfāng,,7,,
7429,秘诀,mìjué,,7,,
7430,密不可分,mìbùkěfēn,,7,,
7431,密集,mìjí,,7,,
7432,蜜,mì,,7,,
7433,蜜月,mìyuè,,7,,
7434,免,miǎn,,7,,
7435,免不了,miǎnbuliǎo,,7,,
7436,免除,miǎnchú,,7,,
7437,免职,miǎnzhí,,7,,
7438,缅怀,miǎnhuái,,7,,
7439,面部,miànbù,,7,,
7440,面粉,miànfěn,,7,,
7441,面红耳赤,miànhóng-ěrchì,,7,,
7442,面面俱到,miànmiàn-jùdào,,7,,
7443,面目全非,miànmù-quánfēi,,7,,
7444,苗,miáo,,7,,
7445,苗头,miáotou,,7,,
7446,庙,miào,,7,,
7447,庙会,miàohuì,,7,,
7448,灭绝,mièjué,,7,,
7449,民办,mínbàn,,7,,
7450,民俗,mínsú,,7,,
7451,民用,mínyòng,,7,,
7452,民众,mínzhòng,,7,,
7453,名贵,míngguì,,7,,
7454,名利,mínglì,,7,,
7455,名气,míngqi,,7,,
7456,名声,míngshēng,,7,,
7457,名言,míngyán,,7,,
7458,名著,míngzhù,,7,,
7459,明朗,mínglǎng,,7,,
7460,明媚,míngmèi,,7,,
7461,铭记,míngjì,,7,,
7462,命,mìng,,7,,
7463,命题,mìngtí,,7,,
7464,模拟,mónǐ,,7,,
7465,磨难,mónàn,,7,,
7466,磨损,mósǔn,,7,,
7467,蘑菇,mógu,,7,,
7468,抹,mǒ,,7,,
7469,末日,mòrì,,7,,
7470,没落,mòluò,,7,,
7471,莫非,mòfēi,,7,,
7472,莫过于,mòguòyú,,7,,
7473,漠然,mòrán,,7,,
7474,墨,mò,,7,,
7475,默读,mòdú,,7,,
7476,默默无闻,mòmò-wúwén,,7,,
7477,默契,mòqì,,7,,
7478,谋害,móuhài,,7,,
7479,谋生,móushēng,,7,,
7480,牡丹,mǔdan,,7,,
7481,亩,mǔ,,7,,
7482,木板,mùbǎn,,7,,
7483,木材,mùcái,,7,,
7484,木匠,mùjiàng,,7,,
7485,木偶,mù'ǒu,,7,,
7486,目不转睛,mùbùzhuǎnjīng,,7,,
7487,目瞪口呆,mùdèng-kǒudāi,,7,,
7488,目的地,mùdìdì,,7,,
7489,目中无人,mùzhōng-wúrén,,7,,
7490,沐浴露,mùyùlù,,7,,
7491,牧场,mùchǎng,,7,,
7492,牧民,mùmín,,7,,
7493,募捐,mùjuān,,7,,
7494,墓碑,mùbēi,,7,,
7495,墓地,mùdì,,7,,
7496,幕,mù,,7,,
7497,幕后,mùhòu,,7,,
7498,穆斯林,mùsīlín,,7,,
7499,哪知道,nǎ zhīdào,,7,,
7500,呐喊,nàhǎn,,7,,
7501,纳入,nàrù,,7,,
7502,纳税,nàshuì,,7,,
7503,纳税人,nàshuìrén,,7,,
7504,乃,nǎi,,7,,
7505,乃至,nǎizhì,,7,,
7506,耐,nài,,7,,
7507,耐人寻味,nàirénxúnwèi,,7,,
7508,耐性,nàixìng,,7,,
7509,南瓜,nánguā,,7,,
7510,难处,nánchù,,7,,
7511,难得一见,nándé yī jiàn,,7,,
7512,难点,nándiǎn,,7,,
7513,难关,nánguān,,7,,
7514,难说,nánshuō,,7,,
7515,难为情,nánwéiqíng,,7,,
7516,难以想象,nányǐ-xiǎngxiàng,,7,,
7517,难以置信,nányǐ-zhìxìn,,7,,
7518,挠,náo,,7,,
7519,恼羞成怒,nǎoxiū-chéngnù,,7,,
7520,脑海,nǎohǎi,,7,,
7521,脑筋,nǎojīn,,7,,
7522,闹事,nàoshì,,7,,
7523,闹着玩儿,nàozhewánr,,7,,
7524,内存,nèicún,,7,,
7525,内阁,nèigé,,7,,
7526,内行,nèiháng,,7,,
7527,内向,nèixiàng,,7,,
7528,内需,nèixū,,7,,
7529,能耗,nénghào,,7,,
7530,能耐,néngnai,,7,,
7531,能人,néngrén,,7,,
7532,尼龙,nílóng,,7,,
7533,泥潭,nítán,,7,,
7534,泥土,nítǔ,,7,,
7535,拟,nǐ,,7,,
7536,逆,nì,,7,,
7537,匿名,nìmíng,,7,,
7538,年画,niánhuà,,7,,
7539,年迈,niánmài,,7,,
7540,年限,niánxiàn,,7,,
7541,年薪,niánxīn,,7,,
7542,年夜饭,niányèfàn,,7,,
7543,年终,niánzhōng,,7,,
7544,黏,nián,,7,,
7545,念念不忘,niànniàn-bùwàng,,7,,
7546,念书,niànshū,,7,,
7547,念头,niàntou,,7,,
7548,娘,niáng,,7,,
7549,酿造,niàngzào,,7,,
7550,鸟巢,niǎocháo,,7,,
7551,尿,niào,,7,,
7552,扭曲,niǔqū,,7,,
7553,扭头,niǔtóu,,7,,
7554,纽带,niǔdài,,7,,
7555,纽扣,niǔkòu,,7,,
7556,农场,nóngchǎng,,7,,
7557,农民工,nóngmíngōng,,7,,
7558,农作物,nóngzuòwù,,7,,
7559,浓缩,nóngsuō,,7,,
7560,浓郁,nóngyù,,7,,
7561,浓重,nóngzhòng,,7,,
7562,弄虚作假,nòngxū-zuòjiǎ,,7,,
7563,女婿,nǚxu,,7,,
7564,暖烘烘,nuǎnhōnghōng,,7,,
7565,诺言,nuòyán,,7,,
7566,拍板,pāibǎn,,7,,
7567,拍卖,pāimài,,7,,
7568,拍戏,pāixì,,7,,
7569,牌照,páizhào,,7,,
7570,攀,pān,,7,,
7571,攀升,pānshēng,,7,,
7572,盘,pán,,7,,
7573,盘算,pánsuan,,7,,
7574,判处,pànchǔ,,7,,
7575,判定,pàndìng,,7,,
7576,盼,pàn,,7,,
7577,叛逆,pànnì,,7,,
7578,旁观,pángguān,,7,,
7579,抛,pāo,,7,,
7580,抛开,pāokāi,,7,,
7581,刨,páo,,7,,
7582,跑车,pǎochē,,7,,
7583,跑道,pǎodào,,7,,
7584,跑龙套,pǎo lóngtào,,7,,
7585,胚胎,pēitāi,,7,,
7586,陪伴,péibàn,,7,,
7587,陪葬,péizàng,,7,,
7588,赔钱,péiqián,,7,,
7589,配件,pèijiàn,,7,,
7590,配送,pèisòng,,7,,
7591,配音,pèiyīn,,7,,
7592,喷泉,pēnquán,,7,,
7593,抨击,pēngjī,,7,,
7594,烹调,pēngtiáo,,7,,
7595,蓬勃,péngbó,,7,,
7596,鹏程万里,péngchéng-wànlǐ,,7,,
7597,膨胀,péngzhàng,,7,,
7598,捧场,pěngchǎng,,7,,
7599,碰钉子,pèng dīngzi,,7,,
7600,碰巧,pèngqiǎo,,7,,
7601,碰上,pèngshang,,7,,
7602,碰撞,pèngzhuàng,,7,,
7603,披露,pīlù,,7,,
7604,皮带,pídài,,7,,
7605,疲惫不堪,píbèi-bùkān,,7,,
7606,脾,pí,,7,,
7607,匹配,pǐpèi,,7,,
7608,媲美,pìměi,,7,,
7609,僻静,pìjìng,,7,,
7610,譬如说,pìrú shuō,,7,,
7611,片子,piānzi,,7,,
7612,偏方,piānfāng,,7,,
7613,偏向,piānxiàng,,7,,
7614,偏远,piānyuǎn,,7,,
7615,篇幅,piānfú,,7,,
7616,片段,piànduàn,,7,,
7617,骗人,piàn rén,,7,,
7618,漂,piāo,,7,,
7619,票房,piàofáng,,7,,
7620,贫富,pín fù,,7,,
7621,贫穷,pínqióng,,7,,
7622,频频,pínpín,,7,,
7623,品位,pǐnwèi,,7,,
7624,品行,pǐnxíng,,7,,
7625,聘,pìn,,7,,
7626,聘任,pìnrèn,,7,,
7627,聘用,pìnyòng,,7,,
7628,平常心,píngchángxīn,,7,,
7629,平淡,píngdàn,,7,,
7630,平和,pínghé,,7,,
7631,平价,píngjià,,7,,
7632,平民,píngmín,,7,,
7633,平日,píngrì,,7,,
7634,平息,píngxī,,7,,
7635,评定,píngdìng,,7,,
7636,评论员,pínglùnyuán,,7,,
7637,评判,píngpàn,,7,,
7638,评审,píngshěn,,7,,
7639,评委,píngwěi,,7,,
7640,凭借,píngjiè,,7,,
7641,凭着,píngzhe,,7,,
7642,凭证,píngzhèng,,7,,
7643,瓶颈,píngjǐng,,7,,
7644,萍水相逢,píngshuǐ-xiāngféng,,7,,
7645,泼冷水,pō lěngshuǐ,,7,,
7646,迫使,pòshǐ,,7,,
7647,破案,pò'àn,,7,,
7648,破除,pòchú,,7,,
7649,破解,pòjiě,,7,,
7650,破旧,pòjiù,,7,,
7651,破裂,pòliè,,7,,
7652,破灭,pòmiè,,7,,
7653,破碎,pòsuì,,7,,
7654,扑克,pūkè,,7,,
7655,扑面而来,pūmiàn-érlái,,7,,
7656,铺路,pūlù,,7,,
7657,菩萨,púsà,,7,,
7658,普通人,pǔtōng rén,,7,,
7659,谱,pǔ,,7,,
7660,七嘴八舌,qīzuǐ-bāshé,,7,,
7661,沏,qī,,7,,
7662,期盼,qīpàn,,7,,
7663,欺诈,qīzhà,,7,,
7664,漆,qī,,7,,
7665,其后,qíhòu,,7,,
7666,其间,qíjiān,,7,,
7667,奇花异草,qíhuā-yìcǎo,,7,,
7668,奇特,qítè,,7,,
7669,祈祷,qídǎo,,7,,
7670,棋,qí,,7,,
7671,棋子,qízǐ,,7,,
7672,乞求,qǐqiú,,7,,
7673,乞讨,qǐtǎo,,7,,
7674,启迪,qǐdí,,7,,
7675,起步,qǐbù,,7,,
7676,起程,qǐchéng,,7,,
7677,起劲,qǐjìn,,7,,
7678,起跑线,qǐpǎoxiàn,,7,,
7679,气愤,qìfèn,,7,,
7680,气管,qìguǎn,,7,,
7681,气馁,qìněi,,7,,
7682,气派,qìpài,,7,,
7683,气泡,qìpào,,7,,
7684,气息,qìxī,,7,,
7685,迄今,qìjīn,,7,,
7686,契机,qìjī,,7,,
7687,契约,qìyuē,,7,,
7688,器械,qìxiè,,7,,
7689,卡,qiǎ,,7,,
7690,卡子,qiǎzi,,7,,
7691,恰恰相反,qiàqià xiāngfǎn,,7,,
7692,恰如其分,qiàrú-qífèn,,7,,
7693,千变万化,qiānbiàn-wànhuà,,7,,
7694,千家万户,qiānjiā-wànhù,,7,,
7695,千军万马,qiānjūn-wànmǎ,,7,,
7696,千钧一发,qiānjūn-yīfà,,7,,
7697,迁,qiān,,7,,
7698,迁移,qiānyí,,7,,
7699,牵挂,qiānguà,,7,,
7700,牵涉,qiānshè,,7,,
7701,牵头,qiāntóu,,7,,
7702,铅,qiān,,7,,
7703,前辈,qiánbèi,,7,,
7704,前不久,qiánbùjiǔ,,7,,
7705,前赴后继,qiánfù-hòujì,,7,,
7706,前期,qiánqī,,7,,
7707,前任,qiánrèn,,7,,
7708,前所未有,qiánsuǒwèiyǒu,,7,,
7709,前台,qiántái,,7,,
7710,前无古人,qiánwúgǔrén,,7,,
7711,前夕,qiánxī,,7,,
7712,前线,qiánxiàn,,7,,
7713,前沿,qiányán,,7,,
7714,前仰后合,qiányǎng-hòuhé,,7,,
7715,前者,qiánzhě,,7,,
7716,虔诚,qiánchéng,,7,,
7717,钱财,qiáncái,,7,,
7718,钳子,qiánzi,,7,,
7719,潜能,qiánnéng,,7,,
7720,潜艇,qiántǐng,,7,,
7721,潜在,qiánzài,,7,,
7722,欠缺,qiànquē,,7,,
7723,欠条,qiàntiáo,,7,,
7724,歉意,qiànyì,,7,,
7725,呛,qiāng,,7,,
7726,枪毙,qiāngbì,,7,,
7727,腔,qiāng,,7,,
7728,强加,qiángjiā,,7,,
7729,强劲,qiángjìng,,7,,
7730,强项,qiángxiàng,,7,,
7731,强行,qiángxíng,,7,,
7732,强硬,qiángyìng,,7,,
7733,强占,qiángzhàn,,7,,
7734,抢夺,qiǎngduó,,7,,
7735,抢眼,qiǎngyǎn,,7,,
7736,敲边鼓,qiāo biāngǔ,,7,,
7737,敲诈,qiāozhà,,7,,
7738,乔装,qiáozhuāng,,7,,
7739,瞧不起,qiáobuqǐ,,7,,
7740,巧合,qiǎohé,,7,,
7741,撬,qiào,,7,,
7742,切除,qiēchú,,7,,
7743,切断,qiēduàn,,7,,
7744,切割,qiēgē,,7,,
7745,且,qiě,,7,,
7746,切身,qièshēn,,7,,
7747,窃取,qièqǔ,,7,,
7748,侵害,qīnhài,,7,,
7749,侵权,qīnquán,,7,,
7750,侵占,qīnzhàn,,7,,
7751,亲和力,qīnhélì,,7,,
7752,亲近,qīnjìn,,7,,
7753,亲朋好友,qīnpéng-hǎoyǒu,,7,,
7754,亲情,qīnqíng,,7,,
7755,亲身,qīnshēn,,7,,
7756,亲生,qīnshēng,,7,,
7757,亲手,qīnshǒu,,7,,
7758,亲友,qīnyǒu,,7,,
7759,勤工俭学,qíngōng-jiǎnxué,,7,,
7760,勤快,qínkuai,,7,,
7761,寝室,qǐnshì,,7,,
7762,青春期,qīngchūnqī,,7,,
7763,青蛙,qīngwā,,7,,
7764,轻而易举,qīng'éryìjǔ,,7,,
7765,轻蔑,qīngmiè,,7,,
7766,轻微,qīngwēi,,7,,
7767,轻型,qīngxíng,,7,,
7768,倾家荡产,qīngjiā-dàngchǎn,,7,,
7769,倾诉,qīngsù,,7,,
7770,倾销,qīngxiāo,,7,,
7771,清脆,qīngcuì,,7,,
7772,清单,qīngdān,,7,,
7773,清静,qīngjìng,,7,,
7774,清凉,qīngliáng,,7,,
7775,清明,qīngmíng,,7,,
7776,清新,qīngxīn,,7,,
7777,清真寺,qīngzhēnsì,,7,,
7778,情,qíng,,7,,
7779,情不自禁,qíngbùzìjīn,,7,,
7780,情调,qíngdiào,,7,,
7781,情怀,qínghuái,,7,,
7782,情结,qíngjié,,7,,
7783,情侣,qínglǚ,,7,,
7784,情人,qíngrén,,7,,
7785,情谊,qíngyì,,7,,
7786,情愿,qíngyuàn,,7,,
7787,庆典,qìngdiǎn,,7,,
7788,庆贺,qìnghè,,7,,
7789,庆幸,qìngxìng,,7,,
7790,囚犯,qiúfàn,,7,,
7791,求婚,qiúhūn,,7,,
7792,求救,qiújiù,,7,,
7793,求学,qiúxué,,7,,
7794,求医,qiúyī,,7,,
7795,求证,qiúzhèng,,7,,
7796,求助,qiúzhù,,7,,
7797,曲线,qūxiàn,,7,,
7798,驱动,qūdòng,,7,,
7799,趋于,qūyú,,7,,
7800,曲,qǔ,,7,,
7801,取代,qǔdài,,7,,
7802,取而代之,qǔ'érdàizhī,,7,,
7803,取经,qǔjīng,,7,,
7804,取决于,qǔjué yú,,7,,
7805,取暖,qǔnuǎn,,7,,
7806,取胜,qǔshèng,,7,,
7807,取笑,qǔxiào,,7,,
7808,去除,qùchú,,7,,
7809,去处,qùchù,,7,,
7810,去向,qùxiàng,,7,,
7811,圈子,quānzi,,7,,
7812,权益,quányì,,7,,
7813,全长,quáncháng,,7,,
7814,全程,quánchéng,,7,,
7815,全方位,quánfāngwèi,,7,,
7816,全能,quánnéng,,7,,
7817,全文,quánwén,,7,,
7818,全心全意,quánxīn-quányì,,7,,
7819,拳,quán,,7,,
7820,劝告,quàngào,,7,,
7821,劝说,quànshuō,,7,,
7822,劝阻,quànzǔ,,7,,
7823,缺失,quēshī,,7,,
7824,确凿,quèzáo,,7,,
7825,确诊,quèzhěn,,7,,
7826,燃放,ránfàng,,7,,
7827,燃气,ránqì,,7,,
7828,燃油,rányóu,,7,,
7829,饶,ráo,,7,,
7830,绕行,ràoxíng,,7,,
7831,惹,rě,,7,,
7832,热潮,rècháo,,7,,
7833,热带,rèdài,,7,,
7834,热气,rèqì,,7,,
7835,热气球,rèqìqiú,,7,,
7836,热腾腾,rèténgténg,,7,,
7837,热衷,rèzhōng,,7,,
7838,人次,réncì,,7,,
7839,人工智能,réngōng-zhìnéng,,7,,
7840,人均,rénjūn,,7,,
7841,人品,rénpǐn,,7,,
7842,人气,rénqì,,7,,
7843,人情,rénqíng,,7,,
7844,人身,rénshēn,,7,,
7845,人手,rénshǒu,,7,,
7846,人体,réntǐ,,7,,
7847,人文,rénwén,,7,,
7848,人行道,rénxíngdào,,7,,
7849,人选,rénxuǎn,,7,,
7850,人缘儿,rényuánr,,7,,
7851,人造,rénzào,,7,,
7852,忍饥挨饿,rěnjī-ái'è,,7,,
7853,忍心,rěnxīn,,7,,
7854,认错,rèncuò,,7,,
7855,认证,rènzhèng,,7,,
7856,认知,rènzhī,,7,,
7857,任期,rènqī,,7,,
7858,任人宰割,rènrén-zǎigē,,7,,
7859,任职,rènzhí,,7,,
7860,韧性,rènxìng,,7,,
7861,日复一日,rìfùyīrì,,7,,
7862,日后,rìhòu,,7,,
7863,日前,rìqián,,7,,
7864,日趋,rìqū,,7,,
7865,荣获,rónghuò,,7,,
7866,容光焕发,róngguāng-huànfā,,7,,
7867,容量,róngliàng,,7,,
7868,容许,róngxǔ,,7,,
7869,容颜,róngyán,,7,,
7870,融,róng,,7,,
7871,冗长,rǒngcháng,,7,,
7872,柔软,róuruǎn,,7,,
7873,如果说,rúguǒ shuō,,7,,
7874,如实,rúshí,,7,,
7875,如意,rúyì,,7,,
7876,如愿以偿,rúyuànyǐcháng,,7,,
7877,如醉如痴,rúzuì-rúchī,,7,,
7878,儒学,rúxué,,7,,
7879,入场,rùchǎng,,7,,
7880,入场券,rùchǎngquàn,,7,,
7881,入境,rùjìng,,7,,
7882,入侵,rùqīn,,7,,
7883,入手,rùshǒu,,7,,
7884,入选,rùxuǎn,,7,,
7885,软弱,ruǎnruò,,7,,
7886,软实力,ruǎnshílì,,7,,
7887,瑞雪,ruìxuě,,7,,
7888,润,rùn,,7,,
7889,弱势,ruòshì,,7,,
7890,撒,sā,,7,,
7891,赛车,sàichē,,7,,
7892,赛跑,sàipǎo,,7,,
7893,三番五次,sānfān-wǔcì,,7,,
7894,三角,sānjiǎo,,7,,
7895,三维,sānwéi,,7,,
7896,桑拿,sāngná,,7,,
7897,丧生,sàngshēng,,7,,
7898,骚乱,sāoluàn,,7,,
7899,扫除,sǎochú,,7,,
7900,扫描,sǎomiáo,,7,,
7901,扫墓,sǎomù,,7,,
7902,扫兴,sǎoxìng,,7,,
7903,僧人,sēngrén,,7,,
7904,杀害,shāhài,,7,,
7905,杀手,shāshǒu,,7,,
7906,沙龙,shālóng,,7,,
7907,纱,shā,,7,,
7908,砂糖,shātáng,,7,,
7909,鲨鱼,shāyú,,7,,
7910,傻瓜,shǎguā,,7,,
7911,筛,shāi,,7,,
7912,晒太阳,shài tàiyáng,,7,,
7913,山川,shānchuān,,7,,
7914,山顶,shāndǐng,,7,,
7915,山冈,shāngāng,,7,,
7916,山岭,shānlǐng,,7,,
7917,山路,shānlù,,7,,
7918,山寨,shānzhài,,7,,
7919,删,shān,,7,,
7920,煽动,shāndòng,,7,,
7921,善,shàn,,7,,
7922,善意,shànyì,,7,,
